,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM)
236,44.532,-0.4399,-0.6514,0.2066,0.0249,0.0
237,44.811,-0.4416,-0.6533,0.2093,0.0257,0.0
238,45.09,-0.438,-0.637,0.2054,0.0219,0.0
239,45.37,-0.4501,-0.6452,0.213,0.0227,0.0
240,45.65,-0.4284,-0.6533,0.214,0.0213,0.0
241,45.93,-0.4246,-0.6191,0.2161,0.0217,0.0
242,46.211,-0.4365,-0.6468,0.2159,0.0237,0.0
243,46.492,-0.4365,-0.5785,0.2132,0.024,0.0
244,46.773,-0.4365,-0.6647,0.2155,0.0239,0.0
245,47.054,-0.4361,-0.637,0.2101,0.0237,0.0
246,47.336,-0.4297,-0.6435,0.2087,0.0225,0.0
247,47.619,-0.4416,-0.6517,0.2136,0.0224,0.0
248,47.901,-0.4467,-0.6606,0.2155,0.0257,0.0
249,48.183,-0.4382,-0.6512,0.2089,0.0223,0.0
250,48.467,-0.4303,-0.6598,0.2109,0.0231,0.0
251,48.75,-0.4382,-0.5675,0.2089,0.0222,0.0
252,49.033,-0.4552,-0.6533,0.2097,0.0244,0.0
253,49.317,-0.4418,-0.6386,0.2093,0.0235,0.0
254,49.601,-0.4314,-0.6484,0.214,0.0239,0.0
255,49.886,-0.428,-0.6331,0.2109,0.0226,0.0
256,50.17,-0.4361,-0.5653,0.2085,0.0236,0.0
257,50.455,-0.4365,-0.5438,0.2039,0.0248,0.0
258,50.74,-0.4416,-0.65,0.2066,0.0237,0.0
259,51.025,-0.4361,-0.6452,0.2113,0.0243,0.0
260,51.311,-0.4399,-0.5767,0.2128,0.0252,0.0
261,51.598,-0.4297,-0.6484,0.2104,0.0242,0.0
262,51.885,-0.4569,-0.624,0.2097,0.0225,0.0
263,52.171,-0.4636,-0.6582,0.2066,0.019,0.0
264,52.459,-0.4348,-0.567,0.2148,0.0194,0.0
265,52.747,-0.4416,-0.6452,0.2085,0.0219,0.0
266,53.035,-0.4365,-0.637,0.2113,0.0224,0.0
267,53.323,-0.4433,-0.6598,0.2155,0.0218,0.0
268,53.612,-0.4314,-0.6095,0.214,0.0266,0.0
269,53.9,-0.4433,-0.6533,0.2062,0.0296,0.0
270,54.19,-0.4382,-0.6403,0.2105,0.0565,0.0
271,54.479,-0.4399,-0.5523,0.2105,0.0488,0.0
272,54.768,-0.4552,-0.6642,0.2392,0.0643,0.0
273,55.057,-0.4382,-0.4545,0.26,0.064,0.0
274,55.347,-0.4416,-0.4399,0.2339,0.0727,0.0
275,55.638,-0.4484,-0.6061,0.2394,0.0719,0.0
276,55.928,-0.4609,-0.435,0.259,0.0607,0.0
277,56.218,-0.4501,-0.4526,0.2299,0.0626,0.0
278,56.509,-0.4399,-0.5295,0.2161,0.0617,0.0
279,56.8,-0.2787,-0.4285,0.2594,0.073,0.0
280,57.092,-0.4314,-0.5702,0.2272,0.0827,0.0
281,57.384,-0.2757,-0.4334,0.2392,0.0813,0.0
282,57.676,-0.4265,-0.5751,0.2691,0.0741,0.0
283,57.968,-0.2396,-0.4326,0.2194,0.0873,0.0
284,58.26,-0.243,-0.4283,0.2343,0.0871,0.0
285,58.553,-0.2871,-0.448,0.2183,0.0776,0.0
286,58.846,-0.2617,-0.4399,0.2543,0.0798,0.0
287,59.14,-0.4348,-0.4317,0.2151,0.0895,0.0
288,59.435,-0.2532,-0.4252,0.2229,0.0865,0.0
289,59.729,-0.3979,-0.5507,0.2691,0.0792,0.0
290,60.023,-0.2509,-0.4171,0.235,0.1006,0.0
291,60.318,-0.3975,-0.5384,0.221,0.082,0.0
292,60.613,-0.2532,-0.449,0.2454,0.0774,0.0
293,60.908,-0.4416,-0.4672,0.2445,0.0862,0.0
294,61.203,-0.2345,-0.4529,0.2287,0.076,0.0
295,61.499,-0.2634,-0.4383,0.2461,0.0972,0.0
296,61.795,-0.4314,-0.5538,0.2287,0.0886,0.0
297,62.091,-0.3975,-0.6452,0.2315,0.0862,0.0
298,62.388,-0.3499,-0.6435,0.2637,0.0834,0.0
