,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
194,89.095,7.413,3.8066,0.8693,355.5392,5.84,14.0052,3600.0,14.5926,0.0
195,89.515,5.2605,-3.6861,-5.5345,338.4816,5.6698,12.6128,3600.0,14.5926,0.0
196,89.936,6.1947,-1.5314,-3.9453,321.3451,5.9716,12.5829,3600.0,14.5926,0.0
197,90.357,8.5375,8.0537,5.6753,500.441,6.8662,14.9362,3600.0,14.5926,0.0
198,90.776,8.8432,8.4677,5.3373,421.368,6.7292,15.1479,3600.0,14.5926,0.0
199,91.196,6.9095,-0.2904,-2.8627,292.659,5.4221,13.2092,3600.0,14.5926,0.0
200,91.618,5.6814,-4.0617,-5.1932,349.5591,5.9011,13.0711,3600.0,14.5926,0.0
201,92.041,8.6752,8.554,6.4926,491.638,6.2051,14.3356,3600.0,14.5926,0.0
202,92.461,7.961,5.0962,2.0462,440.5344,6.3648,11.0713,3600.0,14.5926,0.0
203,92.88,5.4405,-2.8958,-4.4531,390.0581,5.7424,12.3373,3600.0,14.5926,0.0
204,93.301,5.4769,-3.117,-5.355,264.6076,5.4182,12.0074,3600.0,14.5926,0.0
205,93.722,7.8964,4.8779,4.2495,381.7783,6.6889,14.1342,3600.0,14.5926,0.0
206,94.142,8.7464,7.3215,5.7066,465.1249,7.6403,12.6694,3600.0,14.5926,0.0
207,94.562,6.5355,0.0111,-2.2875,403.2113,6.2423,12.7044,3600.0,14.5926,0.0
208,94.984,5.248,-4.3097,-5.9682,255.7986,5.348,11.8955,3600.0,14.5926,0.0
209,95.406,7.4709,5.4002,4.0665,472.1754,6.023,14.0218,3600.0,14.5926,0.0
210,95.825,8.6323,8.2339,5.7526,555.4588,7.354,15.766,3600.0,14.5926,0.0
211,96.244,7.7709,4.1163,2.2668,436.5925,6.3623,14.3178,3600.0,14.5926,0.0
212,96.663,6.1875,-1.745,-4.2495,285.3719,5.3704,12.6452,3600.0,14.5926,0.0
213,97.085,5.9028,-3.2168,-4.3851,384.2901,5.6354,12.3174,3600.0,14.5926,0.0
214,97.507,8.5397,8.1124,6.2078,514.6411,7.1172,15.1465,3600.0,14.5926,0.0
215,97.927,8.1018,5.3821,2.5706,492.6953,6.6202,14.7008,3600.0,14.5926,0.0
216,98.347,6.0901,-1.9982,-4.5511,278.6268,5.4012,12.4715,3600.0,14.5926,0.0
217,98.768,5.968,-2.4657,-4.5793,281.4882,5.4811,12.222,3600.0,14.5926,0.0
218,99.189,7.7878,6.4764,4.5036,401.1351,6.8163,14.6833,3600.0,14.5926,0.0
219,99.608,8.8664,7.8272,5.4843,566.4699,7.0753,15.427,3600.0,14.5926,0.0
220,100.028,7.2424,1.8099,-1.402,429.6551,6.0675,13.8849,3600.0,14.5926,0.0
221,100.45,5.5036,-3.7741,-5.7238,411.1029,5.3387,10.2974,3600.0,14.5926,0.0
222,100.874,8.2608,7.628,6.4007,498.4116,6.3028,14.6614,3600.0,14.5926,0.0
223,101.295,6.957,1.2507,-1.5622,322.1456,5.3961,12.5495,3600.0,14.5926,0.0
224,101.716,4.8011,-5.2253,-6.7468,259.8177,5.4604,12.2013,3600.0,14.5926,0.0
225,102.138,8.1277,6.1945,4.0478,429.4523,6.5559,14.3695,3000.0,14.5926,0.0
226,102.558,8.8133,8.6089,6.6445,484.9176,7.7339,13.001,3600.0,14.5926,0.0
227,102.978,6.4049,-0.3781,-2.8047,261.748,5.446,12.7156,3600.0,14.5926,0.0
228,103.401,5.8864,-2.0516,-5.0023,367.3374,6.0509,13.291,3600.0,14.5926,0.0
229,103.825,8.551,8.1529,5.4558,459.3681,7.8663,13.0087,3600.0,14.5926,0.0
230,104.246,5.8185,-2.2593,-4.6245,345.8624,4.3001,11.5324,3600.0,14.5926,0.0
231,104.669,6.3678,0.0769,-1.3947,278.79,5.5056,12.3163,3600.0,14.5926,0.0
232,105.091,8.5738,8.5168,5.3867,439.4323,7.055,15.1318,3600.0,14.5926,0.0
