,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
242,80.216,36.4535,30.3044,113.1053,8.8001,2.4675,2840.5502,28.17,6.149099999999997
243,80.588,36.5103,30.1286,112.1668,8.9033,2.4875,2827.2546,28.4423,6.381700000000002
244,80.959,36.6861,30.1868,112.2824,8.9418,2.4503,2799.4648,27.7121,6.499300000000002
245,81.335,36.5072,30.3585,116.1132,8.669400000000001,2.4878,2852.0725,27.1027,6.148699999999998
246,81.712,36.595,30.3621,120.3519,8.6608,2.4785999999999997,2946.9548,26.9645,6.232899999999997
247,82.085,36.5055,30.2908,121.9159,8.456900000000001,2.4454,2970.4929,27.0074,6.214699999999997
248,82.459,36.5417,30.4939,125.8225,8.6513,2.4614,2976.092,29.0678,6.047799999999999
249,82.824,36.5764,30.1483,114.2261,8.6088,2.4684,2785.4289,27.1319,6.428100000000001
250,83.205,36.5873,30.4477,121.899,8.624600000000001,2.4831,2745.9953,27.0665,6.139599999999998
251,83.589,36.4873,30.0939,114.6693,8.5805,2.4351,2764.2126,27.577,6.393399999999996
252,83.97,36.3471,30.1306,116.9371,9.0442,2.4753,2968.4355,27.4835,6.216499999999996
253,84.342,36.6303,30.1792,116.2333,8.8733,2.4756,2954.5976,27.9863,6.451099999999997
254,84.714,36.2136,30.1009,115.9987,8.8313,2.4954,2950.4326,27.7258,6.1127
255,85.087,36.4648,30.0566,116.9632,8.9733,2.4739999999999998,2778.2922,28.0541,6.408199999999997
256,85.468,36.6986,30.3222,111.0935,8.8285,2.4474,2968.3376,28.4014,6.3764
257,85.839,36.5938,30.4415,113.1313,9.002500000000001,2.4760999999999997,2928.8293,27.9638,6.1523
258,86.213,36.416,30.2925,106.0387,8.836300000000001,2.4823,2755.4956,28.2989,6.123499999999996
259,86.594,36.665,30.7251,107.2643,9.050500000000001,2.4795,2962.3776,27.5094,5.939899999999998
260,86.969,36.5688,30.4334,118.0059,8.9521,2.4892,2756.1708,28.4634,6.135400000000004
261,87.35,36.5184,30.1075,115.8944,8.7537,2.4954,2941.8493,27.9852,6.410899999999998
262,87.726,36.628,30.2637,112.5057,8.6742,2.4716,2756.9306,28.7403,6.3643
263,88.107,36.274,30.0778,113.8675,8.749400000000001,2.4491,2980.527,26.5147,6.196200000000001
264,88.487,36.4716,30.0976,122.0202,8.6883,2.4741,2888.133,28.4945,6.374000000000002
265,88.863,36.5184,30.1141,113.5671,8.625300000000001,2.4714,2971.2775,28.9824,6.404299999999999
266,89.234,36.556,30.3057,118.6759,8.7059,2.4739,2950.5295,27.1017,6.250299999999996
267,89.614,36.491,30.4232,114.6432,8.572600000000001,2.4884,2845.7597,27.8964,6.067799999999998
268,89.995,36.4977,30.1924,117.8234,8.9001,2.4613,2848.1914,28.528,6.305300000000003
