label,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM),GV,DP,Power
1228,118.989,38.046,31.8352,12.2321,1.5148,27.383,0,6.2108,18.52918508
1229,119.746,38.0115,31.9336,12.0759,1.5232,27.5769,0,6.0779,18.39401088
1230,120.505,38.0184,31.9013,12.2115,1.4935,27.07,0,6.1171,18.23787525
1231,121.265,37.9661,31.9217,12.0953,1.5111,27.2636,0,6.0444,18.27720783
1232,122.024,38.0033,31.8793,12.1871,1.5107,27.6894,0,6.124,18.41105197
1233,122.784,38.1214,31.8633,12.1835,1.5206,27.4168,0,6.2581,18.5262301
1234,123.545,38.0987,31.9291,12.141,1.506,27.377,0,6.1696,18.284346
1235,124.307,37.987,31.713,12.2676,1.515,27.3373,0,6.274,18.585414
1236,125.069,38.0045,31.9981,12.1548,1.5249,27.2976,0,6.0064,18.53485452
1237,125.833,37.9067,31.9353,12.1859,1.5311,27.72,0,5.9714,18.65783149
1238,126.598,38.0202,31.8742,12.1827,1.5157,27.2185,0,6.146,18.46531839
1239,127.364,37.9504,31.9268,12.1681,1.5085,27.6396,0,6.0236,18.35557885
1240,128.13,37.9923,31.6468,12.2324,1.5247,27.5996,0,6.3455,18.65074028
1241,128.896,38.0091,31.8606,12.179,1.5174,27.33,0,6.1485,18.4804146
1242,129.663,38.1061,31.8946,12.2094,1.5155,27.5198,0,6.2115,18.5033457
1243,130.431,38.077,31.8657,12.0981,1.5077,27.48,0,6.2113,18.24030537
1244,131.2,37.9083,31.6671,12.1058,1.5154,27.4403,0,6.2412,18.34512932
1245,131.97,37.9225,31.7975,12.1944,1.5274,27.4006,0,6.125,18.62572656
1246,132.741,37.9748,31.7333,12.2482,1.5213,27.361,0,6.2415,18.63318666
1247,133.513,37.8927,31.8182,12.1495,1.508,27.3214,0,6.0745,18.321446
1248,134.285,38.0952,31.8097,12.2405,1.5125,27.5093,0,6.2855,18.51375625
1249,135.058,38.1319,32.1287,12.1811,1.5102,27.2426,0,6.0032,18.39589722
1250,135.831,38.0935,31.9268,12.2142,1.5239,27.6568,0,6.1667,18.61321938
1251,136.606,38.0289,31.9573,12.1447,1.5139,27.3905,0,6.0716,18.38586133
1252,137.381,38.0052,31.9268,12.0953,1.5005,27.351,0,6.0784,18.14899765
1253,138.157,37.8439,31.7571,12.1378,1.5057,27.0859,0,6.0868,18.27588546
1254,138.933,38.1267,32.0032,12.0941,1.5168,27.4977,0,6.1235,18.34433088
1255,139.71,38.097,31.8606,12.1963,1.5282,27.4582,0,6.2364,18.63838566
1256,140.488,38.0324,31.8595,12.1782,1.5249,27.4187,0,6.1729,18.57053718
1257,141.267,37.8753,31.7321,12.2519,1.5362,27.3793,0,6.1432,18.82136878
1258,142.046,37.9661,31.7062,12.2745,1.5155,27.5641,0,6.2599,18.60200475
1259,142.826,37.9992,31.9251,12.1336,1.5219,27.5245,0,6.0741,18.46612584
1260,143.607,38.1511,31.8742,12.2276,1.5017,27.7085,0,6.2769,18.36218692
1261,144.391,38.0499,32.0218,12.1483,1.5122,27.2224,0,6.0281,18.37065926
1262,145.173,38.0429,31.8097,12.1986,1.4962,27.629,0,6.2332,18.25154532
1263,145.956,38.1468,31.8844,12.2442,1.5019,27.1444,0,6.2624,18.38956398
1264,146.74,38.09,31.92,12.124,1.5189,27.5499,0,6.17,18.4151436
1265,147.525,37.9416,31.8201,12.2175,1.5303,27.5104,0,6.1215,18.69644025
1266,148.313,37.9835,31.713,12.2025,1.5325,27.4709,0,6.2705,18.70033125
1267,149.099,38.0656,31.8623,12.1515,1.5071,27.4317,0,6.2033,18.31352565
1268,149.886,38.2225,31.8436,12.2041,1.527,27.6133,0,6.3789,18.6356607
1269,150.674,37.8369,31.8759,12.1918,1.5136,27.3533,0,5.961,18.45350848
1270,151.463,37.9936,31.8233,12.2575,1.5109,27.7547,0,6.1703,18.51985675
1271,152.253,38.09,31.7995,12.1784,1.5062,27.2752,0,6.2905,18.34310608
1272,153.043,37.9548,31.8284,12.1329,1.5179,27.2362,0,6.1264,18.41652891
1273,153.834,37.9957,31.8182,12.2232,1.5031,27.636,0,6.1775,18.37269192
1274,154.627,38.0603,31.7791,12.2264,1.5037,27.3776,0,6.2812,18.38483768
1275,155.42,37.9853,31.6095,12.2017,1.5311,27.3385,0,6.3758,18.68202287
1276,156.214,37.8561,31.6909,12.3235,1.4985,27.0811,0,6.1652,18.46676475
1277,157.008,38.046,31.8063,12.1455,1.5176,27.4787,0,6.2397,18.4320108
