,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1460,970.022,38.6608,28.8691,142.3004,12.2805,3.0591,3609.9633,26.0099,9.7917,10.95
1461,971.268,38.766,29.0825,144.1773,12.0926,3.1088,3637.6865,27.1097,9.6835,10.95
1462,972.51,38.641,29.1606,149.521,11.5612,3.1784,3516.4492,26.6464,9.4804,10.95
1463,973.758,38.5318,28.8097,146.9664,11.4098,3.1669,3688.2221,26.3538,9.7221,10.95
1464,975.003,38.6952,29.0739,148.0865,11.5147,3.1725,3524.0219,27.8847,9.6213,10.95
1465,976.248,38.4911,28.7594,149.1374,11.6919,3.18,3564.0739,27.9971,9.7317,10.95
1466,977.492,38.6657,28.8517,147.2271,11.6541,3.1718,3644.3149,26.3006,9.814,10.95
1467,978.743,38.8127,28.9026,144.7247,11.743,3.1611,3635.1884,27.6302,9.9101,10.95
1468,979.99,38.7136,28.8653,149.912,11.6517,3.1646,3774.3762,26.0062,9.8483,10.95
1469,981.241,38.7467,29.0648,148.2177,11.7084,3.1645,3825.7172,26.3814,9.6819,10.95
1470,982.491,38.5827,29.1432,147.8267,11.632,3.1672,3697.3132,26.3063,9.4395,10.95
1471,983.745,38.4508,28.8163,147.8267,11.5676,3.1654,3726.3994,26.0434,9.6345,10.95
1472,985.001,38.6078,28.9365,147.9831,11.7155,3.1727,3732.736,26.0983,9.6713,10.95
1473,986.258,38.5501,28.7172,144.4119,11.7604,3.1729,3723.6242,26.7088,9.8329,10.95
1474,987.513,38.4618,28.7634,145.1157,11.4943,3.1726,3653.1904,26.5456,9.6984,10.95
1475,988.772,38.3731,28.665,154.3434,11.0738,3.262,3568.738,27.7669,9.7081,10.95
1476,990.029,38.4444,29.0542,154.8908,10.903,3.2699,3581.947,27.4091,9.3902,10.95
1477,991.29,38.4653,28.9298,151.7367,10.7873,3.2687,3643.5771,27.4194,9.5355,10.95
1478,992.549,38.5905,29.0384,152.1277,10.8952,3.2668,3450.2587,28.3782,9.5521,10.95
1479,993.813,38.609,29.1402,148.3219,11.0227,3.2667,3597.6975,26.6542,9.4688,10.95
1480,995.079,38.6569,28.8958,153.1704,10.9455,3.2663,3613.0068,26.2826,9.7611,10.95
1481,996.347,38.5305,28.9418,149.0518,11.0612,3.2669,3418.5437,26.9515,9.5887,10.95
1482,997.621,38.4204,28.78,149.3907,11.0101,3.2664,3628.447,26.6007,9.6404,10.95
1483,998.892,38.6992,28.9748,153.8641,10.9904,3.2734,3442.6042,27.822,9.7244,10.95
1484,1000.163,38.5701,28.8823,155.2931,10.4243,3.3782,3421.923,28.3418,9.6878,10.95
1485,1001.436,38.3239,28.9319,152.0756,10.3069,3.3681,3448.9365,26.5794,9.392,10.95
1486,1002.716,38.5135,29.1102,164.9362,10.2621,3.3615,3376.8574,26.6396,9.4033,10.95
1487,1003.998,38.4653,29.2489,149.1902,10.2826,3.3657,3365.8701,27.1077,9.2164,10.95
1488,1005.28,38.511,28.923,155.4383,10.344,3.3612,3468.208,26.9654,9.588,10.95
1489,1006.562,38.4409,29.1432,149.8771,10.2519,3.3645,3413.8754,26.9645,9.2977,10.95
1490,1007.845,38.444,28.8992,155.4122,10.3684,3.3666,3375.7172,27.8528,9.5448,10.95
1491,1009.128,38.3859,28.9399,147.4356,10.5061,3.3688,3467.9409,26.8079,9.446,10.95
1492,1010.415,38.4839,29.0452,153.9808,10.148,3.3634,3333.2099,27.1946,9.4387,10.95
1493,1011.704,38.2313,28.6046,163.9882,10.2672,3.364,3506.8579,27.4918,9.6267,10.95
